product_name,product_price,product_image,product_url
LEAF EARRINGS WITH NATURAL PEARL,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/276/303/2/w/560/1856276303_1_1_1.jpg?ts=1569486078139,https://www.zara.com/in/en/leaf-earrings-with-natural-pearl-p01856276.html
HEADBAND WITH VELVET BOW,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/0653/216/800/2/w/560/0653216800_1_1_1.jpg?ts=1567098266294,https://www.zara.com/in/en/headband-with-velvet-bow-p00653216.html
PACK OF RHINESTONE HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4319/267/303/2/w/560/4319267303_1_1_1.jpg?ts=1567592010467,https://www.zara.com/in/en/pack-of-rhinestone-hair-clips-p04319267.html
HOUNDSTOOTH NAUTICAL CAP,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/0653/236/064/2/w/560/0653236064_1_1_1.jpg?ts=1571398028666,https://www.zara.com/in/en/houndstooth-nautical-cap-p00653236.html
FLORAL EARRINGS WITH RHINESTONES,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/1856/253/303/2/w/560/1856253303_1_1_1.jpg?ts=1568734433147,https://www.zara.com/in/en/floral-earrings-with-rhinestones-p01856253.html
LEATHER BELT WITH BUCKLE,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/2495/201/800/2/w/560/2495201800_1_1_1.jpg?ts=1567591908410,https://www.zara.com/in/en/leather-belt-with-buckle-p02495201.html
FRINGED SCARF,"₹ 2,290.00",//static.zara.net/photos///2019/I/0/1/p/9967/201/423/5/w/560/9967201423_1_1_1.jpg?ts=1571998456801,https://www.zara.com/in/en/fringed-scarf-p09967201.html
HERRINGBONE BERET,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/3920/247/800/2/w/560/3920247800_1_1_1.jpg?ts=1571310107023,https://www.zara.com/in/en/herringbone-beret-p03920247.html
TORTOISESHELL-EFFECT ACETATE SUNGLASSES,"₹ 1,890.00",//static.zara.net/photos///2019/I/0/1/p/1903/202/700/2/w/560/1903202700_1_1_1.jpg?ts=1566546639984,https://www.zara.com/in/en/tortoiseshell-effect-acetate-sunglasses-p01903202.html
METALLIC FAUX PEARL HEADBAND,₹ 990.00,//static.zara.net/photos///2019/I/0/1/p/4548/255/050/2/w/560/4548255050_1_1_1.jpg?ts=1568975391754,https://www.zara.com/in/en/metallic-faux-pearl-headband-p04548255.html
FOLDABLE UMBRELLA,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/2912/204/800/2/w/560/2912204800_1_1_1.jpg?ts=1567592003930,https://www.zara.com/in/en/foldable-umbrella-p02912204.html
PACK OF TEXTURED HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4319/280/303/2/w/560/4319280303_1_1_1.jpg?ts=1569405968414,https://www.zara.com/in/en/pack-of-textured-hair-clips-p04319280.html
CORDUROY NAUTICAL CAP,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/0653/227/800/2/w/560/0653227800_1_1_1.jpg?ts=1570613656576,https://www.zara.com/in/en/corduroy-nautical-cap-p00653227.html
